district_code,DIST_NAME,EOHHS_REGION,region_confidence,SCHOOL_TYPE
2190000,Norwell,Metro West,largest-area,Traditional
2200000,Norwood,Metro West,largest-area,Traditional
2210000,Oak Bluffs,Southeast,largest-area,Traditional
8550000,Old Colony Regional Vocational Technical,Unknown,no_intersection,Vocational
7400000,Old Rochester,Southeast,largest-area,Traditional
35150000,Old Sturbridge Academy Charter Public School (District),Central,host-town-curated,Charter
2230000,Orange,Western,largest-area,Traditional
2240000,Orleans,Southeast,largest-area,Traditional
2260000,Oxford,Central,largest-area,Traditional
2270000,Palmer,Western,largest-area,Traditional
8600000,Pathfinder Regional Vocational Technical,Unknown,no_intersection,Vocational
35010000,Paulo Freire Social Justice Charter School (District),Western,host-town-curated,Charter
490050,Peabody,Northeast,host-town-inferred,Traditional
2300000,Pelham,Western,largest-area,Traditional
2310000,Pembroke,Southeast,largest-area,Traditional
7450000,Pentucket,Northeast,largest-area,Traditional
2340000,Petersham,Western,largest-area,Traditional
4930000,"Phoenix Academy Charter Public High School, Chelsea (District)",Boston,host-town-inferred,Charter
35180000,"Phoenix Academy Public Charter High School, Lawrence (District)",Northeast,host-town-inferred,Charter
35080000,"Phoenix Academy Public Charter High School, Springfield (District)",Western,host-town-inferred,Charter
4940000,Pioneer Charter School of Science (District),Northeast,host-town-curated,Charter
35060000,Pioneer Charter School of Science II (District),Northeast,host-town-curated,Charter
7500000,Pioneer Valley,Western,largest-area,Traditional
4970000,Pioneer Valley Chinese Immersion Charter (District),Western,host-town-curated,Charter
4790000,Pioneer Valley Performing Arts Charter Public (District),Western,no_intersection,Charter
2360000,Pittsfield,Western,largest-area,Traditional
2380000,Plainville,Metro West,largest-area,Traditional
2390000,Plymouth,Southeast,largest-area,Traditional
7510000,Plymouth-Carver Regional,Southeast,host-town-inferred,Traditional
2400000,Plympton,Southeast,largest-area,Traditional
4870000,Prospect Hill Academy Charter (District),Unknown,no_intersection,Charter
2420000,Provincetown,Southeast,largest-area,Traditional
7530000,Quabbin,Central,largest-area,Traditional
7780000,Quaboag Regional,Central,largest-area,Traditional
2430000,Quincy,Metro West,largest-area,Traditional
7550000,Ralph C Mahar,Western,largest-area,Traditional
2440000,Randolph,Metro West,largest-area,Traditional
2460000,Reading,Northeast,largest-area,Traditional
2480000,Revere,Boston,largest-area,Traditional
2490000,Richmond,Western,largest-area,Traditional
4830000,Rising Tide Charter Public (District),Unknown,no_intersection,Charter
4820000,River Valley Charter (District),Unknown,no_intersection,Charter
4510000,Robert M. Hughes Academy Charter Public (District),Unknown,no_intersection,Charter
2500000,Rochester,Southeast,largest-area,Traditional
2510000,Rockland,Southeast,largest-area,Traditional
2520000,Rockport,Northeast,largest-area,Traditional
2530000,Rowe,Western,largest-area,Traditional
4220000,Roxbury Charter High Public (District),Unknown,no_intersection,Charter
4840000,Roxbury Preparatory Charter (District),Unknown,no_intersection,Charter
2580000,Salem,Northeast,largest-area,Traditional
4850000,Salem Academy Charter (District),Northeast,host-town-inferred,Charter
2610000,Sandwich,Southeast,largest-area,Traditional
2620000,Saugus,Northeast,largest-area,Traditional
2630000,Savoy,Western,largest-area,Traditional
2640000,Scituate,Metro West,largest-area,Traditional
2650000,Seekonk,Southeast,largest-area,Traditional
2660000,Sharon,Metro West,largest-area,Traditional
8710000,Shawsheen Valley Regional Vocational Technical,Unknown,no_intersection,Vocational
2690000,Sherborn,Metro West,largest-area,Traditional
2710000,Shrewsbury,Central,largest-area,Traditional
2720000,Shutesbury,Western,largest-area,Traditional
4770000,Silver Hill Horace Mann Charter (District),Unknown,no_intersection,Charter
7600000,Silver Lake,Southeast,largest-area,Traditional
4740000,Sizer School: A North Central Charter Essential (District),Unknown,no_intersection,Charter
2730000,Somerset,Southeast,largest-area,Traditional
7630000,Somerset Berkley Regional School District,Southeast,largest-area,Traditional
2740000,Somerville,Metro West,largest-area,Traditional
2780000,South Hadley,Western,largest-area,Traditional
8290000,South Middlesex Regional Vocational Technical,Unknown,no_intersection,Vocational
4880000,South Shore Charter Public (District),Unknown,no_intersection,Charter
8730000,South Shore Regional Vocational Technical,Unknown,no_intersection,Vocational
2750000,Southampton,Western,largest-area,Traditional
2760000,Southborough,Metro West,largest-area,Traditional
2770000,Southbridge,Central,largest-area,Traditional
8720000,Southeastern Regional Vocational Technical,Unknown,no_intersection,Vocational
7650000,Southern Berkshire,Western,largest-area,Traditional
8760000,Southern Worcester County Regional Vocational School District,Central,host-town-inferred,Vocational
7660000,Southwick-Tolland-Granville Regional School District,Western,largest-area,Traditional
7670000,Spencer-E Brookfield,Central,largest-area,Traditional
4760000,Spirit of Knowledge Charter School (District),Unknown,no_intersection,Charter
2810000,Springfield,Western,largest-area,Traditional
4410000,Springfield International Charter (District),Western,host-town-inferred,Charter
35100000,Springfield Preparatory Charter School (District),Western,host-town-inferred,Charter
2840000,Stoneham,Northeast,largest-area,Traditional
2850000,Stoughton,Southeast,largest-area,Traditional
2870000,Sturbridge,Central,largest-area,Traditional
4890000,Sturgis Charter Public (District),Unknown,no_intersection,Charter
2880000,Sudbury,Metro West,largest-area,Traditional
2890000,Sunderland,Western,largest-area,Traditional
2900000,Sutton,Central,largest-area,Traditional
2910000,Swampscott,Northeast,largest-area,Traditional
2920000,Swansea,Southeast,largest-area,Traditional
7700000,Tantasqua,Central,largest-area,Traditional
2930000,Taunton,Southeast,largest-area,Traditional
39020000,TEC Connections Academy Commonwealth Virtual School District,Unknown,no_intersection,Traditional
2950000,Tewksbury,Northeast,largest-area,Traditional
2960000,Tisbury,Southeast,largest-area,Traditional
2980000,Topsfield,Northeast,largest-area,Traditional
8780605,Tri-County Regional Vocational Technical,Unknown,no_intersection,Vocational
7730000,Triton,Northeast,largest-area,Traditional
3000000,Truro,Southeast,largest-area,Traditional
3010000,Tyngsborough,Northeast,largest-area,Traditional
4800000,UP Academy Charter School of Boston (District),Boston,host-town-inferred,Charter
35050000,UP Academy Charter School of Dorchester (District),Unknown,no_intersection,Charter
7740000,Up-Island Regional,Southeast,largest-area,Traditional
4900000,Uphams Corner Charter (District),Unknown,no_intersection,Charter
8790000,Upper Cape Cod Regional Vocational Technical,Unknown,no_intersection,Vocational
3040000,Uxbridge,Central,largest-area,Traditional
4980000,Veritas Preparatory Charter School (District),Western,host-town-curated,Charter
7750000,Wachusett,Central,largest-area,Traditional
3050000,Wakefield,Northeast,largest-area,Traditional
