District,YEAR,Metric,Value
Amherst,2010,In-District FTE Pupils,1331.1
Amherst,2011,In-District FTE Pupils,1284.2
Amherst,2012,In-District FTE Pupils,1214.7
Amherst,2013,In-District FTE Pupils,1195.9
Amherst,2014,In-District FTE Pupils,1196.7
Amherst,2015,In-District FTE Pupils,1183.5
Amherst,2016,In-District FTE Pupils,1154.4
Amherst,2017,In-District FTE Pupils,1155.9
Amherst,2018,In-District FTE Pupils,1162.6
Amherst,2019,In-District FTE Pupils,1130.9
Amherst,2020,In-District FTE Pupils,1106.9
Amherst,2021,In-District FTE Pupils,1017.0
Amherst,2022,In-District FTE Pupils,1051.6
Amherst,2023,In-District FTE Pupils,1062.1
Amherst,2024,In-District FTE Pupils,1001.5
Amherst,2009,Out-of-District FTE Pupils,64.7
Amherst,2010,Out-of-District FTE Pupils,72.1
Amherst,2011,Out-of-District FTE Pupils,73.4
Amherst,2012,Out-of-District FTE Pupils,83.7
Amherst,2013,Out-of-District FTE Pupils,89.6
Amherst,2014,Out-of-District FTE Pupils,90.4
Amherst,2015,Out-of-District FTE Pupils,101.3
Amherst,2016,Out-of-District FTE Pupils,113.1
Amherst,2017,Out-of-District FTE Pupils,109.6
Amherst,2018,Out-of-District FTE Pupils,107.9
Amherst,2019,Out-of-District FTE Pupils,124.4
Amherst,2020,Out-of-District FTE Pupils,121.6
Amherst,2021,Out-of-District FTE Pupils,118.0
Amherst,2022,Out-of-District FTE Pupils,123.0
Amherst,2023,Out-of-District FTE Pupils,129.0
Amherst,2024,Out-of-District FTE Pupils,133.9
Amherst-Pelham,2009,In-District FTE Pupils,1712.0
Amherst-Pelham,2010,In-District FTE Pupils,1659.0
Amherst-Pelham,2011,In-District FTE Pupils,1572.9
Amherst-Pelham,2012,In-District FTE Pupils,1535.6
Amherst-Pelham,2013,In-District FTE Pupils,1519.0
Amherst-Pelham,2014,In-District FTE Pupils,1470.3
Amherst-Pelham,2015,In-District FTE Pupils,1449.9
Amherst-Pelham,2016,In-District FTE Pupils,1377.5
Amherst-Pelham,2017,In-District FTE Pupils,1366.0
Amherst-Pelham,2018,In-District FTE Pupils,1341.7
Amherst-Pelham,2019,In-District FTE Pupils,1334.3
