Year,Cohort,District,FTE_In_District,FTE_Out_District,FTE_Foundation,Teachers_PPE,"Insurance, Retirement and Other_PPE",Pupil Services_PPE,Other Teaching Services_PPE,Operations and Maintenance_PPE,Instructional Leadership_PPE,Administration_PPE,"Guidance, Counseling and Testing_PPE",Other_PPE,Ch70 Aid,Req NSS (minus Ch70),Actual NSS (minus Req NSS)
2010,Tiny,Clarksburg,,,,5139.0,2283.0,1251.0,1495.0,683.0,1176.0,617.0,246.0,1195.0,6255.196296296296,1955.896296296296,1126.6059259259262
2010,Tiny,Conway,,,,4304.0,1583.0,1304.0,2037.0,1439.0,720.0,872.0,419.0,481.0,4439.418439716312,6439.90780141844,1969.436879432625
2010,Tiny,Erving,,,,4641.0,3710.0,1803.0,2814.0,1521.0,1091.0,1126.0,406.0,1145.0,1451.0035842293908,7294.172043010752,4270.440380652653
2010,Tiny,Farmington River Reg,,,,6296.0,3843.0,3019.0,1653.0,1090.0,1622.0,760.0,201.0,516.0,,,
2010,Tiny,Florida,,,,3829.0,1991.0,1812.0,1101.0,1069.0,1063.0,689.0,62.0,453.0,5116.141414141414,3865.969696969697,3542.0969696969705
2010,Tiny,Hancock,,,,8884.0,650.0,1216.0,744.0,1105.0,857.0,481.0,0.0,829.0,2032.292929292929,7870.010101010101,1922.0793838196744
2010,Tiny,Hawlemont,,,,5439.0,2634.0,1322.0,1750.0,1471.0,1381.0,1046.0,234.0,388.0,5905.2962962962965,4220.268518518518,3873.055555555556
2010,Tiny,Leverett,,,,5690.0,2041.0,664.0,2040.0,1427.0,1008.0,676.0,306.0,602.0,2350.475,7291.933333333333,7315.303333333332
2010,Tiny,New Salem-Wendell,,,,4612.0,2284.0,723.0,2090.0,1232.0,1474.0,854.0,347.0,909.0,,,
2010,Tiny,Pelham,,,,5474.0,2585.0,641.0,2109.0,847.0,1159.0,398.0,449.0,361.0,2821.0493827160494,6131.654320987655,7722.506172839506
2010,Tiny,Petersham,,,,3919.0,1233.0,1989.0,1512.0,1551.0,933.0,630.0,612.0,451.0,5204.105882352941,4556.870588235294,2681.929411764706
2010,Tiny,Richmond,,,,8579.0,1876.0,1080.0,1291.0,1271.0,708.0,378.0,561.0,385.0,1745.755,8898.535,4963.42
2010,Tiny,Rowe,,,,7270.0,5239.0,3296.0,1633.0,1476.0,1774.0,1881.0,212.0,838.0,1429.3,10036.14,17429.76
2010,Tiny,Savoy,,,,5891.0,4006.0,1497.0,1349.0,896.0,1611.0,1103.0,0.0,373.0,5116.148514851485,3377.079207920792,1666.039603960396
2010,Tiny,Shutesbury,,,,5363.0,2687.0,800.0,2447.0,1079.0,1138.0,943.0,328.0,498.0,4054.5234899328857,4886.51677852349,4697.812080536913
2010,Tiny,Sunderland,,,,4410.0,1467.0,1389.0,2264.0,1228.0,868.0,828.0,340.0,384.0,4597.468421052631,5920.373684210526,1411.9684210526316
2010,Tiny,Westhampton,,,,4729.0,1838.0,882.0,986.0,727.0,944.0,471.0,310.0,487.0,2841.4758620689654,5721.296551724138,3467.508965517242
2010,Tiny,Whately,,,,4605.0,2132.0,1390.0,2099.0,1927.0,971.0,792.0,497.0,625.0,2489.2474226804125,5993.154639175258,9937.34639175258
2010,Tiny,Williamsburg,,,,5518.0,1602.0,1051.0,1015.0,1171.0,747.0,534.0,316.0,419.0,2552.8192771084337,6618.55421686747,3564.793975903613
2010,Small,Deerfield,,,,4360.0,1334.0,1060.0,1735.0,698.0,567.0,666.0,209.0,452.0,2717.9598997493736,6491.320802005012,1830.7578947368431
2010,Small,Frontier,,,,5463.0,2432.0,1393.0,975.0,1152.0,983.0,508.0,571.0,618.0,4245.5705794948,6758.401188707281,2318.4903417533437
2010,Small,Hadley,,,,3588.0,1075.0,1117.0,627.0,2025.0,580.0,454.0,170.0,403.0,1271.824302134647,8202.862068965518,411.75905873330254
2010,Small,Hampshire,,,,5072.0,2433.0,1676.0,821.0,865.0,875.0,476.0,512.0,870.0,3526.8204225352115,5041.841549295775,2540.56220657277
2010,Small,Hatfield,,,,4510.0,676.0,1210.0,966.0,700.0,708.0,520.0,350.0,268.0,2019.7411167512687,7690.2639593908625,1457.487978023373
2010,Small,Lee,,,,5103.0,2399.0,1142.0,1483.0,1021.0,823.0,542.0,469.0,686.0,2705.344459279039,6956.177570093458,2913.915620827772
2010,Small,Lenox,,,,5948.0,2512.0,1212.0,1140.0,1305.0,704.0,617.0,374.0,874.0,1799.676204819277,8379.69126506024,5242.175903614459
2010,Small,Mount Greylock,,,,5381.0,3414.0,1525.0,1508.0,1288.0,537.0,526.0,621.0,737.0,,,
2010,Small,Orange,,,,3856.0,2509.0,773.0,995.0,772.0,567.0,354.0,192.0,219.0,7646.977369165488,2525.5544554455446,-339.7029702970297
2010,Small,Ralph C Mahar,,,,4362.0,2735.0,1821.0,667.0,1350.0,850.0,558.0,481.0,615.0,,,
