Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Explicit Track
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,166.2,"860,026,452",74769,80.0,"173,044,031","1,640,319","90,924,917","1,227,837,850",0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,164.9,"1,032,225,805",94887,79.0,"920,878,032","3,118,229","116,003,972","2,416,141,351",1
redrum,american dream,21 Savage,1/12/2024,164.8,"428,233,003",57311,,"105,148,629","1,762,297","6,732,800","43,993,800",1
Easy On Me,Easy On Me,Adele,10/14/2021,163.2,"1,720,918,065",209635,73.0,"1,194,846,205","13,561,925","733,101,955","7,860,224,413",0
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,163.1,"1,514,239,759",190692,77.0,"1,366,181,141","9,358,441","475,656,543","5,249,863,696",1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,162.0,"333,202,114",108322,68.0,"203,487,345","2,084,532","63,253,779","748,253,884",1
Anti-Hero,Midnights,Taylor Swift,10/21/2022,161.8,"1,563,224,246",117005,80.0,"203,259,285","3,482,508","376,660,493","3,864,505,972",0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,161.7,"1,692,951,462",209490,78.0,"1,132,539,234","8,795,731","196,608,777","2,054,826,154",0
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,161.0,"255,076,355",11500,86.0,"202,206,901","2,596,912","57,656,713","506,476,590",0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,158.2,"275,349,653",37806,70.0,"347,506,860","1,553,295","321,239,621","4,767,676,439",1
La Diabla,La Diabla - Single,Xavi,12/2/2023,155.9,"649,404,552",27544,83.0,"433,839,212","2,750,086","414,833","10,603,563",0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,153.6,"851,085,705",129047,70.0,"211,810,152","2,461,166","955,272,568","8,781,020,473",1
Snooze,SOS,SZA,12/9/2022,153.3,"1,013,350,808",108036,84.0,"390,677,417","2,521,214","97,819,766","887,803,828",1
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,153.1,"359,803,580",26065,86.0,"369,321,334","1,839,225","74,164,945","874,056,250",1
Agora Hills,Scarlet,Doja Cat,9/22/2023,152.8,"509,653,100",66219,,"48,045,203","986,278","88,846,508","544,437,406",1
Prada,Prada,cassï¿,8/11/2023,152.5,"609,699,748",128498,83.0,"47,611,547","418,343","96,934,486","1,090,501,901",1
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,152.3,"5,157,486",470,,"1,278,618","27,849","261,000","3,900,000",0
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,152.1,"242,070,373",37170,76.0,"22,907,992","261,664","312,997,953","3,832,221,658",0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,150.7,"478,150,858",73306,78.0,"113,379,734","1,312,763","182,319,546","2,111,289,492",1
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,150.5,"61,382,407",7240,43.0,"9,977,490","201,210","9,239,474","147,837,262",0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,150.4,"460,156,070",163449,77.0,"8,183,226","98,257","65,920,648","1,032,799,567",0
Training Season,Training Season,Dua Lipa,2/15/2024,148.9,"251,153,869",16811,76.0,"66,691,067","961,957","34,572,688","431,390,500",0
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,148.1,"205,206,688",28064,84.0,"39,453,253","672,789",,,1
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,147.4,"32,942,304",1262,74.0,"57,861,795","1,257,935",,,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,146.6,"1,911,559,785",317345,78.0,"441,257,231","4,829,633","561,201,008","4,574,447,121",1
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,145.3,"2,014,959,725",354831,70.0,"1,003,346,208","16,856,186","915,814,897","9,558,947,943",1
Pedro,Pedro - Single,Jaxomy,3/29/2024,144.6,"168,145,583",27654,85.0,"35,008,949","717,214",,,0
Fast Car,Gettin' Old,Luke Combs,3/24/2023,144.5,"518,988,585",73116,80.0,"107,703,759","768,813","74,258,021","924,204,888",0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,144.0,"247,399,972",22222,80.0,"389,540,239","4,392,933","22,950,364","296,522,040",0
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,144.0,"5,712,985",2311,44.0,"3,120,073","56,276","2,452,502,310","33,870,791,454",0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,143.9,"3,358,704,125",392082,79.0,"2,763,188,773","19,410,390","178,829,434","1,597,453,878",0
Hands,Hands,Dianï¿½,8/1/2022,143.9,"126,914",8,1.0,"2,435,813,922","7,208,467",188,"6,415",0
Saturn,Saturn - Single,SZA,2/24/2024,142.8,"343,090,427",21104,87.0,"38,173,339","349,660",,,0
Believer,Believer,Imagine Dragons,1/31/2017,142.2,"3,006,226,762",335880,81.0,"4,495,059,988","42,240,881","453,132,709","5,876,458,723",0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,141.0,"787,155,930",183850,77.0,"357,772,653","2,590,835","95,662,104","836,550,889",1
